Bacteria name,Adultfemalehornfly-A,Adultfemalehornfly-B,Adultfemalehornfly-C,Female Avg,Adultmalehornfly-A,Adultmalehornfly-B,Adultmalehornfly-C,Male Avg,Hornflyeggs-A,Hornflyeggs-B,Hornflyeggs-C,Egg Avg
Desulfonatronum sp,0,0,0,0,0,0,0,0,0,0,0.033467202,0.011155734
Janibacter anophelis,0,0,0,0,0.766998342,1.719287277,0,0.828761873,0.090379594,0.090698378,0.066934404,0.082670792
Paludibacter sp,0,0.450612833,0,0.150204278,0,0,0,0,0,0.010077598,0,0.003359199
Thauera sp,0,0,0,0,0,0,0,0,0,0,0.033467202,0.011155734
Cytophaga sp,0.013255567,0,0,0.004418522,0,0,0,0,0,0.010077598,0.022311468,0.010796355
Citricoccus sp,0,0,0,0,0,0.031259769,0,0.010419923,0,0,0,0
Janibacter sp,0,0,0,0,0.062189055,0,0,0.020729685,0,0,0,0
Pediococcus sp,0,0,0,0,0,0,0,0,0.010042177,0.010077598,0.022311468,0.014143748
Levilinea sp,0.013255567,0,0,0.004418522,0.04145937,0.031259769,0,0.024239713,0.07029524,0,0.033467202,0.034587481
Streptomyces rimosus,0,0,0,0,0,0,0,0,0,0,0.033467202,0.011155734
Streptococcus dysgalactiae,0,0,0,0,0,0,0.039572616,0.013190872,0.050210886,0.030232793,0,0.026814559
Arthrobacter sp,0,0,0,0,0.103648425,0.46889653,0,0.190848318,0.040168709,0.010077598,0.033467202,0.027904503
Thermanaerovibrio sp,0,0,0,0,0,0,0,0,0,0,0.011155734,0.003718578
